adm,Pre-1973,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
AK,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,notice,notice,notice,notice,notice
AZ,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
AR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
CA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
CO,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
CT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
DE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
FL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
GA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
HI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
ID,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent
IL,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,notice,notice,notice,notice,notice,notice,notice
IN,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
IA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
KS,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
KY,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
LA,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
ME,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
MD,none,none,none,none,none,none,none,none,none,none,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
MA,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MI,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MN,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
MS,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MO,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
MT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,notice,notice,notice
NE,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NV,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NH,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,notice,notice,notice,notice,notice
NJ,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NM,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
NY,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
NC,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
ND,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
OH,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
OK,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
OR,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
PA,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
RI,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
SC,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
SD,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice,notice
TN,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
TX,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
UT,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent,consent
VT,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
